review,sentiment
Treatment was good but waiting time was a bit long.,positive
The treatment was not helpful and the service was bad.,negative
The staff were rude and the instructions were unclear.,negative
The ward was crowded and not clean.,negative
The ward was crowded and not clean.,negative
The reception staff were polite and helpful.,positive
The staff were friendly and the discharge process was clear.,positive
Excellent coordination between doctors and nurses.,positive
The staff were rude and the instructions were unclear.,negative
"Treatment was satisfactory, however waiting time was terrible.",negative
"Good medical support, though reception coordination could improve.",positive
The room was clean and the service was prompt.,positive
The staff were rude and the instructions were unclear.,negative
The treatment was not helpful and the service was bad.,negative
"Clean room, quick service, and a smooth admission process.",positive
"Clean room, quick service, and a smooth admission process.",positive
"Good medical support, though reception coordination could improve.",positive
Very slow service and confusing billing process.,negative
Poor hygiene and delayed response from staff.,negative
Poor hygiene and delayed response from staff.,negative
The doctor was helpful although the billing process was slow.,positive
I am unhappy with the discharge process and communication.,negative
"The room was clean and staff were caring, but discharge took time.",positive
The staff were friendly and the discharge process was clear.,positive
The doctor did not explain the treatment properly.,negative
The doctor was helpful although the billing process was slow.,positive
I had a frustrating experience due to waiting and neglect.,negative
The doctor did not explain the treatment properly.,negative
The staff were friendly and the discharge process was clear.,positive
"Treatment was satisfactory, however waiting time was terrible.",negative
The staff were rude and the instructions were unclear.,negative
Poor hygiene and delayed response from staff.,negative
The ward was crowded and not clean.,negative
The reception staff were polite and helpful.,positive
The staff were friendly and the discharge process was clear.,positive
"Clean room, quick service, and a smooth admission process.",positive
The nurses were polite but the room was not clean.,negative
Very supportive team and effective treatment.,positive
"The nursing staff were caring, attentive, and professional.",positive
"The doctor explained things well, but service was delayed.",negative
I am unhappy with the discharge process and communication.,negative
Overall a comfortable and reassuring experience.,positive
Very supportive team and effective treatment.,positive
Overall a comfortable and reassuring experience.,positive
"The staff were caring, yet the discharge process was poor.",negative
The room was dirty and the service was delayed.,negative
I am unhappy with the discharge process and communication.,negative
The doctor was very helpful and explained everything clearly.,positive
"The staff were caring, yet the discharge process was poor.",negative
"The doctor explained things well, but service was delayed.",negative
Poor hygiene and delayed response from staff.,negative
"The doctor explained things well, but service was delayed.",negative
"Clean room, quick service, and a smooth admission process.",positive
"The doctor explained things well, but service was delayed.",negative
Long waiting time and poor coordination at reception.,negative
I was satisfied with the treatment and overall hospital support.,positive
I was satisfied with the treatment and overall hospital support.,positive
The reception staff were polite and helpful.,positive
The doctor was very helpful and explained everything clearly.,positive
The room was dirty and the service was delayed.,negative
The room was clean and the service was prompt.,positive
The doctor was very helpful and explained everything clearly.,positive
Very supportive team and effective treatment.,positive
The doctor did not explain the treatment properly.,negative
The staff were friendly and the discharge process was clear.,positive
Overall a comfortable and reassuring experience.,positive
The room was dirty and the service was delayed.,negative
"Clean room, quick service, and a smooth admission process.",positive
The doctor was very helpful and explained everything clearly.,positive
The doctor did not explain the treatment properly.,negative
"The nursing staff were caring, attentive, and professional.",positive
The room was clean and the service was prompt.,positive
"Good medical support, though reception coordination could improve.",positive
The room was clean and the service was prompt.,positive
I had a frustrating experience due to waiting and neglect.,negative
"Clean room, quick service, and a smooth admission process.",positive
"Clean room, quick service, and a smooth admission process.",positive
Excellent coordination between doctors and nurses.,positive
The room was clean and the service was prompt.,positive
I had a frustrating experience due to waiting and neglect.,negative
The doctor was very helpful and explained everything clearly.,positive
Treatment was good but waiting time was a bit long.,positive
The staff were rude and the instructions were unclear.,negative
Overall satisfactory care with minor delays.,positive
The treatment was not helpful and the service was bad.,negative
"The nursing staff were caring, attentive, and professional.",positive
Overall a comfortable and reassuring experience.,positive
"Good medical support, though reception coordination could improve.",positive
Overall a comfortable and reassuring experience.,positive
The ward was crowded and not clean.,negative
Overall a comfortable and reassuring experience.,positive
The treatment was not helpful and the service was bad.,negative
The doctor was very helpful and explained everything clearly.,positive
"The room was clean and staff were caring, but discharge took time.",positive
The reception staff were polite and helpful.,positive
The treatment was not helpful and the service was bad.,negative
The hospital was helpful but billing support was confusing.,negative
The nurses were polite but the room was not clean.,negative
The hospital was helpful but billing support was confusing.,negative
The nurses were polite but the room was not clean.,negative
"The staff were caring, yet the discharge process was poor.",negative
The doctor was very helpful and explained everything clearly.,positive
I am unhappy with the discharge process and communication.,negative
The treatment was not helpful and the service was bad.,negative
The room was clean and the service was prompt.,positive
The treatment was not helpful and the service was bad.,negative
The doctor did not explain the treatment properly.,negative
"Clean room, quick service, and a smooth admission process.",positive
"Clean room, quick service, and a smooth admission process.",positive
The doctor was helpful although the billing process was slow.,positive
The treatment was not helpful and the service was bad.,negative
The room was dirty and the service was delayed.,negative
Overall a comfortable and reassuring experience.,positive
"Treatment was satisfactory, however waiting time was terrible.",negative
The room was dirty and the service was delayed.,negative
Long waiting time and poor coordination at reception.,negative
"The room was clean and staff were caring, but discharge took time.",positive
The reception staff were polite and helpful.,positive
"The nursing staff were caring, attentive, and professional.",positive
The doctor was very helpful and explained everything clearly.,positive
Excellent coordination between doctors and nurses.,positive
The room was clean and the service was prompt.,positive
I had a frustrating experience due to waiting and neglect.,negative
Excellent coordination between doctors and nurses.,positive
The room was dirty and the service was delayed.,negative
The ward was crowded and not clean.,negative
Long waiting time and poor coordination at reception.,negative
"The room was clean and staff were caring, but discharge took time.",positive
I was satisfied with the treatment and overall hospital support.,positive
The room was clean and the service was prompt.,positive
The reception staff were polite and helpful.,positive
The doctor was very helpful and explained everything clearly.,positive
The staff were rude and the instructions were unclear.,negative
The reception staff were polite and helpful.,positive
The nurses were polite but the room was not clean.,negative
The treatment was not helpful and the service was bad.,negative
I had a frustrating experience due to waiting and neglect.,negative
The room was dirty and the service was delayed.,negative
"Clean room, quick service, and a smooth admission process.",positive
"The room was clean and staff were caring, but discharge took time.",positive
Overall a comfortable and reassuring experience.,positive
I am unhappy with the discharge process and communication.,negative
The reception staff were polite and helpful.,positive
The nurses were polite but the room was not clean.,negative
Long waiting time and poor coordination at reception.,negative
The nurses were polite but the room was not clean.,negative
"The room was clean and staff were caring, but discharge took time.",positive
The room was clean and the service was prompt.,positive
The staff were friendly and the discharge process was clear.,positive
Very slow service and confusing billing process.,negative
Overall a comfortable and reassuring experience.,positive
Long waiting time and poor coordination at reception.,negative
The staff were rude and the instructions were unclear.,negative
The room was clean and the service was prompt.,positive
The room was dirty and the service was delayed.,negative
The nurses were polite but the room was not clean.,negative
The room was dirty and the service was delayed.,negative
The doctor did not explain the treatment properly.,negative
"Clean room, quick service, and a smooth admission process.",positive
The hospital was helpful but billing support was confusing.,negative
The doctor was helpful although the billing process was slow.,positive
Long waiting time and poor coordination at reception.,negative
"The nursing staff were caring, attentive, and professional.",positive
The doctor was very helpful and explained everything clearly.,positive
Long waiting time and poor coordination at reception.,negative
"The room was clean and staff were caring, but discharge took time.",positive
I was satisfied with the treatment and overall hospital support.,positive
Very slow service and confusing billing process.,negative
The ward was crowded and not clean.,negative
Very slow service and confusing billing process.,negative
Long waiting time and poor coordination at reception.,negative
"The nursing staff were caring, attentive, and professional.",positive
Very supportive team and effective treatment.,positive
Overall satisfactory care with minor delays.,positive
I had a frustrating experience due to waiting and neglect.,negative
Overall a comfortable and reassuring experience.,positive
I am unhappy with the discharge process and communication.,negative
The treatment was not helpful and the service was bad.,negative
The reception staff were polite and helpful.,positive
The nurses were polite but the room was not clean.,negative
I was satisfied with the treatment and overall hospital support.,positive
I am unhappy with the discharge process and communication.,negative
The staff were rude and the instructions were unclear.,negative
The staff were rude and the instructions were unclear.,negative
Very slow service and confusing billing process.,negative
Very slow service and confusing billing process.,negative
Long waiting time and poor coordination at reception.,negative
The staff were rude and the instructions were unclear.,negative
The treatment was not helpful and the service was bad.,negative
Poor hygiene and delayed response from staff.,negative
"The room was clean and staff were caring, but discharge took time.",positive
The ward was crowded and not clean.,negative
Treatment was good but waiting time was a bit long.,positive
"The nursing staff were caring, attentive, and professional.",positive
Very supportive team and effective treatment.,positive
The doctor was helpful although the billing process was slow.,positive
The room was clean and the service was prompt.,positive
I had a frustrating experience due to waiting and neglect.,negative
Long waiting time and poor coordination at reception.,negative
The staff were rude and the instructions were unclear.,negative
"The staff were caring, yet the discharge process was poor.",negative
"Treatment was satisfactory, however waiting time was terrible.",negative
Very slow service and confusing billing process.,negative
"Treatment was satisfactory, however waiting time was terrible.",negative
Poor hygiene and delayed response from staff.,negative
The doctor was very helpful and explained everything clearly.,positive
The doctor was very helpful and explained everything clearly.,positive
The doctor did not explain the treatment properly.,negative
"Good medical support, though reception coordination could improve.",positive
"The doctor explained things well, but service was delayed.",negative
I was satisfied with the treatment and overall hospital support.,positive
Very supportive team and effective treatment.,positive
Long waiting time and poor coordination at reception.,negative
"Good medical support, though reception coordination could improve.",positive
The ward was crowded and not clean.,negative
Long waiting time and poor coordination at reception.,negative
Very slow service and confusing billing process.,negative
"The doctor explained things well, but service was delayed.",negative
"The nursing staff were caring, attentive, and professional.",positive
The staff were friendly and the discharge process was clear.,positive
The staff were rude and the instructions were unclear.,negative
Long waiting time and poor coordination at reception.,negative
The room was clean and the service was prompt.,positive
Excellent coordination between doctors and nurses.,positive
Poor hygiene and delayed response from staff.,negative
The staff were friendly and the discharge process was clear.,positive
"Clean room, quick service, and a smooth admission process.",positive
Overall a comfortable and reassuring experience.,positive
The room was clean and the service was prompt.,positive
The room was clean and the service was prompt.,positive
"The nursing staff were caring, attentive, and professional.",positive
Very slow service and confusing billing process.,negative
The room was dirty and the service was delayed.,negative
"The doctor explained things well, but service was delayed.",negative
The ward was crowded and not clean.,negative
The doctor was helpful although the billing process was slow.,positive
"Good medical support, though reception coordination could improve.",positive
Long waiting time and poor coordination at reception.,negative
Overall a comfortable and reassuring experience.,positive
The room was dirty and the service was delayed.,negative
I am unhappy with the discharge process and communication.,negative
I was satisfied with the treatment and overall hospital support.,positive
Excellent coordination between doctors and nurses.,positive
Long waiting time and poor coordination at reception.,negative
The doctor did not explain the treatment properly.,negative
The hospital was helpful but billing support was confusing.,negative
The doctor did not explain the treatment properly.,negative
"The nursing staff were caring, attentive, and professional.",positive
The doctor did not explain the treatment properly.,negative
The staff were rude and the instructions were unclear.,negative
The doctor did not explain the treatment properly.,negative
The doctor did not explain the treatment properly.,negative
Excellent coordination between doctors and nurses.,positive
"The nursing staff were caring, attentive, and professional.",positive
The reception staff were polite and helpful.,positive
Poor hygiene and delayed response from staff.,negative
"The room was clean and staff were caring, but discharge took time.",positive
I was satisfied with the treatment and overall hospital support.,positive
The nurses were polite but the room was not clean.,negative
"The room was clean and staff were caring, but discharge took time.",positive
The ward was crowded and not clean.,negative
The doctor was helpful although the billing process was slow.,positive
Long waiting time and poor coordination at reception.,negative
Very slow service and confusing billing process.,negative
Excellent coordination between doctors and nurses.,positive
"The nursing staff were caring, attentive, and professional.",positive
The room was dirty and the service was delayed.,negative
I had a frustrating experience due to waiting and neglect.,negative
I am unhappy with the discharge process and communication.,negative
I was satisfied with the treatment and overall hospital support.,positive
"Clean room, quick service, and a smooth admission process.",positive
The doctor did not explain the treatment properly.,negative
The reception staff were polite and helpful.,positive
Long waiting time and poor coordination at reception.,negative
I had a frustrating experience due to waiting and neglect.,negative
Overall a comfortable and reassuring experience.,positive
Treatment was good but waiting time was a bit long.,positive
The ward was crowded and not clean.,negative
The room was dirty and the service was delayed.,negative
I was satisfied with the treatment and overall hospital support.,positive
The reception staff were polite and helpful.,positive
I had a frustrating experience due to waiting and neglect.,negative
I was satisfied with the treatment and overall hospital support.,positive
Overall a comfortable and reassuring experience.,positive
The room was dirty and the service was delayed.,negative
"The nursing staff were caring, attentive, and professional.",positive
The staff were friendly and the discharge process was clear.,positive
Poor hygiene and delayed response from staff.,negative
The nurses were polite but the room was not clean.,negative
The reception staff were polite and helpful.,positive
"The nursing staff were caring, attentive, and professional.",positive
The staff were friendly and the discharge process was clear.,positive
Poor hygiene and delayed response from staff.,negative
"The nursing staff were caring, attentive, and professional.",positive
Very slow service and confusing billing process.,negative
The treatment was not helpful and the service was bad.,negative
Very supportive team and effective treatment.,positive
I was satisfied with the treatment and overall hospital support.,positive
Excellent coordination between doctors and nurses.,positive
The staff were friendly and the discharge process was clear.,positive
