review,sentiment
Treatment was good but waiting time was a bit long.,positive
The treatment was not helpful and the service was bad.,negative
The staff were rude and the instructions were unclear.,negative
The ward was crowded and not clean.,negative
The reception staff were polite and helpful.,positive
The staff were friendly and the discharge process was clear.,positive
Excellent coordination between doctors and nurses.,positive
"Treatment was satisfactory, however waiting time was terrible.",negative
"Good medical support, though reception coordination could improve.",positive
The room was clean and the service was prompt.,positive
"Clean room, quick service, and a smooth admission process.",positive
Very slow service and confusing billing process.,negative
Poor hygiene and delayed response from staff.,negative
The doctor was helpful although the billing process was slow.,positive
I am unhappy with the discharge process and communication.,negative
"The room was clean and staff were caring, but discharge took time.",positive
The doctor did not explain the treatment properly.,negative
I had a frustrating experience due to waiting and neglect.,negative
The nurses were polite but the room was not clean.,negative
Very supportive team and effective treatment.,positive
"The nursing staff were caring, attentive, and professional.",positive
"The doctor explained things well, but service was delayed.",negative
Overall a comfortable and reassuring experience.,positive
"The staff were caring, yet the discharge process was poor.",negative
The room was dirty and the service was delayed.,negative
The doctor was very helpful and explained everything clearly.,positive
Long waiting time and poor coordination at reception.,negative
I was satisfied with the treatment and overall hospital support.,positive
Overall satisfactory care with minor delays.,positive
The hospital was helpful but billing support was confusing.,negative
